Account nr,Account name
1467,"Inventories of goods, simplified margin scheme"
1469,Change in inventories of goods for resale
1470,Work in progress
1471,"Work in progress, costs incurred"
1478,"Work in progress, invoiced"
1479,Change in work in progress
1480,Advance payments for goods and services
1481,Letters of credit
1489,Other advance payments to suppliers
1490,Other inventory items
1491,Investment portfolio
1492,Real property portfolio
1493,Animals classified as current assets
1510,Accounts receivable – trade
1511,Accounts receivable – trade
1512,Pledged receivables (factoring)
1513,Accounts receivable – split invoice
1516,Disputed accounts receivable
1518,"Accounts receivable, not entered in sales ledger"
1519,Write-down of accounts receivable – trade
1520,Bills receivable
1525,Doubtful bills receivable
1529,Write-down of bills receivable 
1530,Contractual receivables
1531,Contractual receivables
1532,Pledged contractual receivables 
1536,Disputed contractual receivables
1539,Write-down of contractual receivables
1550,Consignment receivables
1560,"Accounts receivable, group companies"
1561,"Accounts receivable, parent company"
1562,"Accounts receivable, subsidiaries"
1563,"Accounts receivable, other group companies"
1568,"Accounts receivable, group companies, not entered in sales ledger"
1569,"Write-down of accounts receivable, group companies"
1570,"Accounts receivable from associated companies, jointly controlled companies and other companies in wich a participating is held"
1571,Accounts receivable from associated companies
1572,Accounts receivable from jointly controlled companies
1573,Accounts receivable from other companies in wich a participating is held
1580,Credit cards and vouchers receivable
1610,Current receivables from employees 
1611,Travel advances
1612,Cash advances
1613,Other advances
1614,Temporary loans to employees
1619,Other receivables from employees
1620,Accrued income not yet invoiced
1630,Clearing account for taxes and charges (tax account)
1640,Tax assets
1650,VAT recoverable
1660,Current receivables from group companies
1661,Current receivables from parent company
1662,Current receivables from subsidiaries
1663,Current receivables from other group companies
1670,"Current receivables from associated companies, jointly controlled companies and other companies in wich a participating is held"
1671, Current receivables from associated companies
1672,Current receivables from jointly controlled companies
1673,Current receivables from other companies in wich a participating is held
1680,Other current receivables
1681,Disbursements on behalf of customers
1682,Current loan receivables 
1683,Derivatives
1684,Current receivables from suppliers
1685,Current receivables from partners or related parties
1687,Current portion of long-term receivables
1688,Receivable from labour market insurance schemes
1689,Other current receivables 
1690,Subscribed capital unpaid
1710,Prepaid rent
1720,Prepaid lease charges
1730,Prepaid insurance premiums
1740,Prepaid interest expense
1750,Accrued rental income
1760,Accrued interest income
1770,Assets in the form of prepaid expenses
1780,Accrued income from agreements
1790,Other prepaid expenses and accrued income
1810,Participations in listed companies
1820,Bonds
1830,Convertible debt instruments
1860,"Participations in group companies,  current portion "
1880,Other short-term investments 
1886,Derivatives
1889,Participations in other companies
1890,Write-down of short-term investments
1910,Cash in hand
1911,Main cash account
1912,Cash account 2
1913,Cash account 3 [etc.] 
1920,PlusGiro
1930,Business account/cheque account/current account
1940,Other bank accounts
1950,Certificates of deposit
1960,"Group account, parent company"
1970,Special bank accounts
1972,Copyright account
1973,Forest account
1974,Blocked accounts
1979,Other special bank accounts 
1980,Foreign currency accounts
1990,Client funds
2010,"Equity, partner 1"
2011,Own withdrawals of goods
2013,Other withdrawals
2017,Capital contribution for the year
2018,Other funds invested
2019,"Net result, partner 1"
2020,"Equity, partner 2"
2030,"Equity, partner 3"
2040,"Equity, partner 4"
2050,Allocation to expansion funds
2060,"Equity in non-profit organisations, foundations and registered religious communities"
2061,Equity/foundation capital
2065,Change in fair value reserve 
2066,Bye-law reserve
2067,Profit or loss brought forward
2068,Profit or loss from previous year 
2069,Result for the financial year
2070,Funds for specific projects
2071,Project 1
2072,Project 2
2080,Restricted equity 
2081,Share capital
2082,Unregistered share capital 
2083,Members’ contributions
2084,Debenture contributions
2085,Revaluation reserve 
2086,Statutory reserve 
2087,Capitalised issue 
2088,Reserve for external maintenance
2089,Reserve for development costs
2090,Non-restricted equity
2091,Profit or loss carried forward
2092,Group contributions received/ paid
2093,Shareholders’ contributions received
2094,Own shares
2095,Merger results
2096,Fair value reserve
2097,Share premium reserve
2098,Profit or loss from the previous year
2099,Result for the financial year
2110,Tax allocation reserves
2120,Tax allocation reserves
2150,Accumulated excess depreciation/amortisation 
2151,Accumulated excess amortisation of intangible fixed assets
2152,Accumulated excess depreciation on buildings and land improvements
2153,Accumulated excess depreciation on machinery and equipment
2160,Replacement reserve
2161,"Replacement reserve, machinery and equipment "
2162,"Replacement reserve, buildings and land improvements"
2164,"Replacement reserve, stocks of farming animals and reindeer"
2190,Other untaxed reserves
2196,Inventory reserve
2199,Other untaxed reserves
2210,Pension provision under the Act on Safeguarding Pension Obligations
2220,Provisions for warranty
2230,Other provisions for pensions and similar obligations
2240,Provisions for deferred taxes 
2250,Other provisions for taxes
2252,Provisions for disputed taxes 
2253,"Provision for special payroll tax, tax return item"
2290,Other provisions
2310,Bond and debenture loans
2320,Convertible loans etc.
2321,Convertible loans
2322,Loans with an option
2323,Dividend-linked participating debentures
2324,Principal-linked participating debentures
2330,Bank overdraft facilities 
2331,Bank overdraft 1
2331,Bank overdraft facility utilised 1
2332,Bank overdraft 2
2332,Bank overdraft facility utilised 2 
2335,Bank overdraft facility granted 1 
2336,Bank overdraft facility granted 2
2340,Construction loans
2350,Other long-term liabilities to credit institutions
2351,"Property loans, long-term portion"
2355,Long-term loans from credit institutions in foreign currency
2359,Other long-term loans from credit institutions
2360,Long-term liabilities to group companies
2361,Long-term liabilities to parent company
2362,Long-term liabilities to subsidiaries
2363,Long-term liabilities to other group companies
2370,"Long-term liabilities to associated companies, jointly controlled companies and other companies in wich a participating is held"
2371,Long-term liabilities to associated companies
2372,Long-term liabilities to jointly controlled companies 
2373,Long-term liabilities to other companies in wich a participating is held
2390,Other long-term liabilities
2391,"Hire-purchase contracts, long-term portion"
2392,Conditional long-term liabilities
2393,"Loans from related persons, long-term portion"
2394,Long-term credit from suppliers
2395,Other long-term loans in foreign currency
2396,Derivatives
2397,"Deposits received, long-term"
2399,Other long-term liabilities
2410,Other current liabilities to credit institutions
2411,Current loans from credit institutions
2412,"Current loans from credit institutions, current portion "
2417,Current portion of long-term liabilities to credit institutions
2419,Other current liabilities to credit institutions
2420,Advances from customers
2421,Unused gift vouchers
2429,Other advances from customers
2430,Work in progress
2431,"Work in progress, invoiced"
2438,"Work in progress, costs incurred"
2439,Change in work in progress
2440,Accounts payable – trade
2441,Accounts payable – trade
2443,Consignment payables
2445,Disputed accounts payable 
2448,"Accounts payable, not entered in subsidiary ledger"
2450,Invoiced income not yet accrued
2460,"Accounts payable, group companies"
2461,"Accounts payable, parent company"
2462,"Accounts payable, subsidiaries"
2463,"Accounts payable, other group companies"
2470,"Accounts payable, associated companies, jointly controlled companies and other companies in wich a participating is held"
2471,"Accounts payable, associated companies"
2472,"Accounts payable, jointly controlled companies"
2473,"Accounts payable, other companies in wich a participating is held"
2480,"Bank overdraft facilities, short-term"
2490,"Other current liabilities to credit institutions, customers and suppliers"
2491,Clearing account for gaming operators
2492,Bills payable
2499,Other current liabilities
2510,Tax liabilities
2512,Estimated income tax
2513,Estimated real estate tax/real estate charge
2514,Estimated special payroll tax on pension costs
2515,Estimated yield tax
2516,Value added tax
2517,Estimated foreign tax
2518,F (business) tax paid
2610,"Output VAT, 25 %"
2611,"Output VAT on sales in Sweden, 25 %"
2612,"Output VAT on own withdrawals, 25 %"
2613,"Output VAT on rental income, 25 %"
2614,"Output VAT, reverse charge, 25 %"
2615,"Output VAT, import of goods, 25 %"
2616,"Output VAT, margin scheme 25 %"
2618,"Suspended output VAT, 25 %"
2620,"Output VAT, reduced rate 1"
2621,"Output VAT on sales in Sweden, 12 %"
2622,"Output VAT on own withdrawals, 12 %"
2623,"Output VAT on rental, 12 %"
2624,"Output VAT, reverse charge, 12 %"
2625,"Output VAT, import of goods, 12 %"
2626,"Output VAT, margin scheme 12%"
2628,"Suspended output VAT, 12 %"
2630,"Output VAT, reduced rate 2"
2631,"Output VAT on sales in Sweden, 6 %"
2632,"Output VAT on own withdrawals, 6 %"
2633,"Output VAT on rental, 6 %"
2634,"Output VAT, reverse charge, 6 %"
2635,"Output VAT, import of goods, 6 %"
2636,"Output VAT, margin scheme 6 %"
2638,"Suspended output VAT, 6 %"
2640,Input VAT
2641,Input VAT debited
2642,Input VAT debited in connection with voluntary VAT liability
2645,Estimated input VAT on purchases from abroad
2646,"Input VAT, rentals"
2647,"Input VAT, reverse tax liability goods and services in Sweden"
2648,Suspended input VAT
2649,"Input VAT, mixed business"
2650,VAT payable
2660,Special excise duty 
2661,Advertising tax
2669,Other special excise duty
2710,Employee withholding taxes
2730,Statutory social security contributions and special payroll tax
2731,Clearing account for statutory social security contributions and special payroll tax
2732,Clearing account for special payroll tax
2740,Contractual social security contributions
2750,Attachment of earnings
2760,Holiday pay fund
2761,Clearing account for holiday pay
2762,Holiday pay fund
2790,Other wage/salary deductions
2791,Employee wage/salary deduction account
2792,Employee savings scheme
2793,Group insurance premiums
2794,Trade union dues
2795,Measurement and inspection fees
2799,Other wage/salary deductions
2810,"Clearing account for factoring, current portion"
2811,"Clearing account, factoring"
2812,"Clearing account, pledged contractual receivables"
2820,Current liabilities to employees
2821,Wage/salary liabilities
2822,Travel claims
2823,Bonuses
2829,Other current liabilities to employees
2830,Clearing account for third parties
2840,Current loans
2841,Current portion of long-term loans
2849,Other current loans
2850,Clearing account for taxes and charges (tax account)
2860,Current liabilities to group companies
2861,Current liabilities to parent company
2862,Current liabilities to subsidiaries
2863,Current liabilities to other group companies
2870,"Current liabilities to associated companies, jointly controlled companies and other companies in wich a participating is held"
2871,Current liabilities to associated companies
2872,Current liabilities to jointly controlled companies
2873,Current liabilities to other companies in wich a participating is held
2880,"Liabilities, grants received"
2890,Other current liabilities
2891,Liabilities in process of collection
2892,Interior repairs/maintenance reserve
2893,"Liabilities to related persons, current portion"
2895,Derivatives (current liability)
2897,"Deposits received, current"
2898,Unclaimed dividends
2899,Other current liabilities
2910,Accrued wages and salaries
2911,Wage/salary liabilities
2912,Piece-work surpluses
2919,Other accrued wages and salaries
2920,Accrued holiday pay
2930,Accrued pension costs
2931,Accrued pension payments
2940,Accrued statutory social security and other contributions
2941,Estimated accrued statutory social security contribution
2942,Estimated accrued special payroll tax
2943,"Estimated accrued special payroll tax for pension costs, tax return item"
2944,Estimated accrued yield tax on pension costs
2950,Accrued contractual social security contributions
2951,Accrued contractual labour market insurance
2959,"Accrued contractual pension insurance, tax return item"
2960,Accrued interest expense
2970,Deferred income
2971,Prepaid rental income
2972,Prepaid membership fees
2979,Other deferred income
2980,Accrued contractual costs
2990,Other accrued expenses and deferred income
2991,Estimated fee for year-end closing
2992,Estimated audit fee
2993,Unspecified liability to suppliers
2998,Other accrued expenses and deferred income
2999,Suspense account
3000,"Sales, Sweden"
3001,"Sales within Sweden, 25 % VAT"
3002,"Sales within Sweden, 12 % VAT"
3003,"Sales within Sweden, 6 % VAT"
3004,"Sales within Sweden, VAT exempt"
3100,Sales of goods outside Sweden
3105,Sales of goods to non-EU countries
3106,"Sales of goods to other EU countries, subject to VAT"
3108,"Sales of goods to other EU countries, VAT exempt"
3200,"Sales, margin scheme and reverse charge VAT"
3211,"Sales, positive margin, margin scheme, 25 % VAT"
3212,"Sales, negative margin, margin scheme, 25 % VAT"
3231,"Sales in the construction sector, reverse charge VAT"
3300,Sales of services outside Sweden
3305,Sales of services to non-EU countries
3308,Sales of services to other EU countries
3400,"Sales, own withdrawals"
3401,"Own withdrawals subject to VAT, 25 %"
3402,"Own withdrawals subject to VAT, 12 %"
3403,"Own withdrawals subject to VAT, 6 %"
3404,"Own withdrawals, VAT exempt"
3500,Invoiced costs (control account)
3510,Invoiced packaging
3511,Invoiced packaging
3518,Returned packaging
3520,Invoiced freight
3521,"Invoiced freight, EU countries"
3522,"Invoiced freight, export"
3530,Invoiced customs and forwarding costs companies etc.
3540,Invoicing charges
3541,"Invoicing charges, EU countries"
3542,"Invoicing charges, export"
3550,Invoiced travel expenses
3560,Costs invoiced to group companies
3561,Costs invoiced to the parent company
3562,Costs invoiced to subsidiaries
3563,Costs invoiced to other group companies
3570,"Costs invoiced to associated companies, jointly controlled companies and other companies in wich a participating is held"
3590,Other invoiced costs
3600,Incidental revenue (control account)
3610,Sales of materials
3611,Sales of raw materials
3612,Sales of scrap
3613,Sales of consumables
3619,Sales of other materials
3620,Income from temporary hiring out of personnel
3630,Income from temporary hiring out of transport equipment
3670,Income from securities
3671,Sales of securities
3672,Dividends from securities
3679,Other income from securities
3680,Management fees
3690,Other incidental revenue
3700,Revenue reductions (control account)
3710,Unallocated revenue reductions
3730,Discounts
3731,Cash discounts
3732,Quantity discounts
3740,Rounding-off to whole kronor
3750,Invoiced excise duty
3751,Excise duty recognised in revenue (credit account)
3752,Excise duty recognised as a lia­bility (debit account)
3790,Other revenue reductions
3800,Own work capitalised (control account)
3840,Own work capitalised (material)
3850,Own work capitalised (expenses)
3870,Own work capitalised (personnel)
3900,Other operating income (control account)
3910,Rental and lease income
3911,Rental income
3912,Lease income
3913,Rental income subject to volun­tary VAT liability
3914,Other rental income liable to VAT
3920,"Commission, licence fees and royalties"
3921,Commission revenue
3922,Licence fees and royalties
3925,Franchise fees
3940,Unrealised negative/positiv value change on hedging instruments
3950,Recovery of receivables written-off
3960,Exchange gains on operating receiva­bles and liabilities
3970,Capital gains on sale of intangible and tangible fixed assets
3971,Capital gains on sale of intangi­ble fixed assets
3972,Capital gains on sale of land and buildings
3973,Capital gains on sale of machin­ery and equipment
3980,Government assistance etc. received
3981,EU grants
3985,Government grants
3987,Municipal grants
3988,Grants and other benefits received related to personnel
3989,Other grants received
3990,Other remuneration and revenue
3991,Strike pay
3992,Damages received
3993,Donations and gifts received
3994,Insurance compensation
3995,Settlements from schemes of arrangement for liabilities relating to operations
3996,Advertising contributions received
3997,Statutory sick pay
3999,Other operating income
4000,Purchases of goods from Sweden
4200,"Goods sold, margin scheme"
4211,"Goods sold, positive margin, margin scheme, 25 % VAT"
4212,"Goods sold, negative margin, margin scheme, 25 % VAT"
4400,Purchases in Sweden subject to VAT
4415,"Goods purchased in Sweden, reverse charge, 25 % VAT"
4416,"Goods purchased in Sweden, reverse charge, 12 % VAT"
4417,"Goods purchased in Sweden, reverse charge, 6 % VAT"
4425,"Services purchased in Sweden, reverse charge, 25 % VAT"
4426,"Services purchased in Sweden, reverse charge, 12 % VAT"
4427,"Services purchased in Sweden, reverse charge, 6 % VAT"
4500,Other purchases subject to VAT
4515,"Purchases of goods from other EU countries, 25 % VAT"
4516,"Purchases of goods from other EU countries, 12 % VAT"
4517,"Purchases of goods from other EU countries, 6 % VAT"
4518,"Purchases of goods from other EU countries, VAT exempt"
4531,"Purchase of services from a country outside the EU, 25 % VAT"
4532,"Purchase of services from a country outside the EU, 12 % VAT"
4533,"Purchase of services from a country outside the EU, 6 % VAT"
4535,"Purchases of services from other EU countries, 25 % VAT"
4536,"Purchases of services from other EU countries, 12 % VAT"
4537,"Purchases of services from other EU countries, 6 % VAT"
4538,"Purchases of services from other EU countries, VAT exempt"
4545,"Import of goods, 25 % VAT"
4546,"Import of goods, 12 % VAT"
4547,"Import of goods, 6 % VAT"
4600,Sub-contracted work (control account)
4700,Price reductions (control account)
4730,Discounts received
4731,Cash discounts received
4732,Quantity discounts received (including bonuses)
4733,Activity support received
4790,Other price reductions received
4900,Change in inventories (control account)
4910,Change in raw material inventories
4920,Change in inventories of supplies and consumables
4940,Change in products in progress
4944,"Change in products in progress, materials and disbursements"
4945,"Change in products in progress, expenses"
4947,"Change in products in progress, personnel costs"
4950,Change in inventories of finished goods
4960,Change in inventories of goods for resale
4970,"Change in work in progress, costs incurred"
4974,"Change in work in progress, materials and disbursements"
4975,"Change in work in progress, expenses"
4977,"Change in work in progress, per­sonnel costs"
4980,Change in inventory of securities
4981,Cost of acquisition of securities sold
4987,Write-down of securities
4988,Reversed write-downs of securi­ties
5000,Rented premises (control account)
5010,Rent
5011,Rented office premises
5012,Rented garages
5013,Rented storage space
5020,Electricity for lighting
5030,Heating
5040,Water and sewerage
5050,Fittings belonging to premises
5060,Cleaning and refuse collection
5061,Cleaning
5062,Refuse collection
5063,Refuse container rental
5064,Snow-clearance
5065,Gardening
5070,Repairs and maintenance of rented premises
5090,Other costs of rented premises
5098,"Other costs of rented premises, tax-deductible"
5099,"Other costs of rented premises, non tax-deductible"
5100,Property costs (control account)
5110,Site leasehold fees/rent
5120,Electricity for lighting
5130,Heating
5131,Heating
5132,Chimney-sweeping
5140,Water and sewerage
5160,Cleaning and refuse collection
5161,Cleaning
5162,Refuse collection
5163,Refuse container rental
5164,Snow-clearance
5165,Gardening
5170,Repairs and maintenance of own property
5190,Other property costs
5191,Real estate tax/real estate charge
5192,Property insurance premiums
5193,Property maintenance and management
5198,"Other property costs, tax-deductible"
5199,"Other property costs, non tax-deductible"
5200,Hired fixed assets (control account)
5210,Hire of plant and machinery
5211,Short-term hire of plant and machinery
5212,Leasing of plant and machinery
5220,Hire of equipment and tools
5221,Short-term hire of equipment and tools
5222,Leasing of equipment and tools
5250,Hire of computers
5251,Short-term hire of computers
5252,Leasing of computers
5290,Hire of other fixed assets
5300,Energy costs (control account)
5310,Electricity for operations
5320,Gas
5330,Fuel oil
5340,Coal and coke
5350,"Peat, charcoal, wood and other wood-based fuel"
5360,"Petrol, paraffin and motor fuel oil"
5370,"District heating, cooling and steam"
5380,Water
5390,Other energy costs
5400,Consumable equipment and supplies (control account)
5410,Consumable equipment
5411,Consumable equipment with a life of more than one year
5412,Consumable equipment with a life of one year or less
5420,Software
5430,Transportation equipment
5440,Consumable packaging
5460,Consumable materials
5480,Work clothing and protective materials
5490,Other consumable equipment and materials
5491,Other consumable equipment with a life of more than one year
5492,Other consumable equipment with a life of one year or less
5493,Other consumable equipment
5500,Repairs and maintenance (control account)
5510,Repairs and maintenance of plant and machinery
5520,"Repairs and maintenance of equipment, tools and computers etc."
5530,Repairs and maintenance of fixtures and fittings
5550,Repairs and maintenance of consumable equipment
5580,Maintenance and laundering of work clothing
5590,Other repairs and maintenance
5600,Transport equipment costs (control account)
5610,Costs for passenger cars
5611,"Passenger cars, fuel"
5612,"Passenger cars, insurance and tax"
5613,"Passenger cars, repairs and maintenance"
5615,"Passenger cars, leasing"
5616,"Congestion tax, deductible"
5619,"Passenger cars, other costs"
5620,Costs for heavy goods vehicles
5630,Costs for trucks
5640,Costs for processing machines
5650,Costs for tractors
5660,"Costs for motorcycles, mopeds and scooters"
5670,"Costs for boats, aircraft and helicopters"
5690,Other transport equipment costs
5700,Freight and transportation (control account)
5710,"Freight, carriage and insurance premi­ums for goods distribution"
5720,Customs and forwarding costs etc.
5730,Work-specific transport costs
5790,Other freight and transportation charges
5800,Travel expenses (control account)
5810,Tickets
5820,Car hire
5830,Board and lodging
5831,"Board and lodging, Sweden"
5832,"Board and lodging, abroad"
5890,Other travel expenses
5900,Advertising and PR (control account)
5910,Advertisements
5920,Outdoor and transport advertising
5930,Advertising matter and direct marketing
5940,Exhibitions and trade fairs
5950,In-store advertising and dealer advertising
5960,"Goods samples, advertising gifts and incentives, competitions"
5970,"Film, radio, TV and Internet advertising"
5980,"PR, institutional advertising and spon­sorship"
5990,Other advertising and PR expenses
6000,Other selling expenses (control account)
6010,"Catalogues, price lists etc."
6020,Own trade publications
6030,Special order costs
6040,Credit card charges
6050,Sales commissions
6055,Franchise charges etc.
6060,Credit sale charges
6061,Credit information
6062,Debt collecting expenses
6063,Credit insurance premiums
6064,Factoring charges
6069,Other credit sale charges
6070,Business entertaining
6071,"Business entertaining, tax‑deductible"
6072,"Business entertaining, non tax‑deductible"
6080,Bank guarantees
6090,Other selling expenses
6100,Office supplies and printed matter (control account)
6110,Office supplies
6150,Printed matter
6200,Telecommunications and postal services (control account)
6210,Telecommunications
6211,Fixed telephony 
6212,Mobile telephony
6213,Paging
6214,Fax
6215,Telex
6230,Data communication
6250,Postal services
6300,Corporate insurance and other risk-related costs (control account)
6310,Corporate insurance
6320,Excess
6330,Losses in work in progress
6340,Damages paid
6341,"Damages paid, tax-deductible"
6342,"Damages paid, non tax-­deductible"
6350,Bad debt losses
6351,Confirmed bad debt losses
6352,Anticipated bad debt losses
6360,Warranty costs
6361,Change in warranty provision
6362,Actual warranty costs
6370,Security services
6380,Losses on other current receivables
6390,Other risk-related costs
6400,Costs of administration (control account)
6410,Directors’ remuneration that is not salary
6420,Remuneration to auditor
6421,Audit
6422,Audit business in addition to audit
6423,Tax advisory services – auditor
6424,Other services – auditor
6430,Management fees
6440,Annual and interim reports
6450,Annual general meeting/Annual general meeting of an association
6490,Other costs of administration
6500,Other external services (control account)
6510,Surveying costs
6520,Drawing and copying costs
6530,Accountancy services
6540,IT services
6550,Consulting fees
6560,Service charges to trade associations
6570,Banking costs
6580,Court costs and attorneys’ fees
6590,Other external services
6800,Temporary employees (control account)
6810,"Temporary employees, production"
6820,"Temporary employees, warehouse"
6830,"Temporary employees, transport"
6840,"Temporary employees, office and accounting"
6850,"Temporary employees, IT"
6860,"Temporary employees, marketing and sales"
6870,"Temporary employees, restaurants and shops"
6880,"Temporary employees, company management"
6890,"Temporary employees, other"
6900,Other external expenses (control account)
6910,Licence fees and royalties
6920,Expenses for own patents
6930,Costs relating to trademarks etc.
6940,"Inspection and testing charges, stamp duty"
6950,Fees to regulatory authorities
6970,"Newspapers, magazines and profes­sional literature"
6980,Association fees
6981,"Association fees, tax-deductible"
6982,"Association fees, non tax-deductible"
6990,Other external expenses
6991,"Other external expenses, tax‑deductible"
6992,"Other external expenses, non tax-deductible"
6993,Donations and gifts
6996,Paid foreign income tax
6997,Unpaid foreign income tax
6998,"VAT, overseas"
6999,Input VAT on mixed business
7000,Wages to employees under collective agreements (control account)
7010,Wages to employees under collective agreements
7011,Wages to employees under collective agreements
7012,Profit shares to employees under collective agreements
7013,"Wages ""Växa-stöd"" employees under collective agreements, 10,21%"
7017,Severance pay to employees under collective agreements
7018,"Gross wages reduction, employees under collective agreements"
7019,Accrued pay and profit shares to employees under collective agreements
7030,Wages to employees under collective agreements (employees outside Sweden)
7031,Wages to employees under collective agreements (employees outside Sweden)
7032,Profit shares to employees under collective agreements (employees outside Sweden)
7037,Severance pay to employees under collective agreements (employees outside Sweden)
7038,"Gross wages reduction, employees under collective agreements (employees outside Sweden)"
7039,Accrued pay and profit shares to employees under collective agreements (employees outside Sweden)
7080,Wages to employees under collective agreements for time not worked
7081,Statutory sick pay to employees under collective agreements
7082,Holiday pay to employees under collective agreements
7083,Parental pay to employees under collective agreements
7089,Other wages to employees under collective agreements for time not worked
7090,Change in accrued holiday pay liability
7200,Salaries to white-collar employees and managers (control account)
7210,Salaries to white-collar employees
7211,Salaries to white-collar employees
7212,Profit shares to white-collar employees
7213,"Wages ""Växa-stöd"" white-collar employees, 10,21%"
7217,Severance pay to white-collar employees
7218,"Gross salary reductions, white-collar employees"
7219,Accrued pay and profit shares to white-collar employees
7220,Salaries to managers
7221,Salaries to managers
7222,Bonuses to managers
7227,Severance pay to managers
7228,"Gross salary deductions, managers"
7229,Accrued pay and profit shares to managers
7230,Salaries to white-collar employees and managers (employees outside Sweden)
7231,Salaries to white-collar employees and managers (employees outside Sweden)
